Citation,Parent Statute,Document Description,File,Entity Empowered,Triggering Event,Describe Health Emergency,State Trigger,Location,Military Involvement (Federal),Document Type,Preliminary Screening,Source,Chapter,Date Originally Published (from File),Date Last Updated (from File),PDF (from File),Note,url (from File),Funding Stream?,Funding Stream Description,Waiver Authority,"Regulations: Relevant Chapter, Section or Article",Scenarios Matrix,Plans & Strategies
42 U.S.C. § 5164,Stafford Act,"President may create rules and regulations ""necessary and proper"" to carry out Act",Stafford Act,"Federal Emergency Management Agency,Executive Office of the President of the United States",No triggering event - Capacity Building,Part of disaster preparedness,Not applicable,Domestic,Yes - Subject to Posse Comitatus,Legislation,Include,Stafford Act U.S.C.,,5/22/1974,3/18/2024,COMPS-2977.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/OlsNYJxyeHv1XQfOW8x8jQ/QY6_tMD33obLemOWNqG20kTOc8OqX7A0BJR23S_Px_jtRo2-k0WLMRVQyGBJwJm4NrpaRLwkh3vcs4wCFDAZouaR0R_7cce3IESb56gBjn4FPN60NV_i62bH2rdSnrw5yu7E3P7i9zSSSIAcb9YdpfsnHZpjr9IoZaOEybYqI3s/H68PIZPBdDAc-0TH0qwCRdBwgo4Q-XwB6o1RCv4wF2k),,https://www.govinfo.gov/content/pkg/COMPS-2977/pdf/COMPS-2977.pdf,No,,No,,"Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c",
43 U.S.C. § 155,National Emergencies Act,The Engle Act rules for using public lands for defense don’t apply during a war or national emergency declared by the President or Congress.,National Emergencies Act,Department of Defense,"Natural Disaster,Health Emergency,Act of War,Presidential Emergency Declarations,Terrorism","In the event of a pandemic or widespread health emergency, it may be necessary to use public lands to set up emergency medical resource and care sites.",No,Domestic,No,Legislation,,"Emergency Authorities Under the National Emergencies Act,",,9/14/1976,,1669500.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/kW6jgO7pvc22Ihh8tOGIhQ/KmoaTPj3NqwUScvZsj2urZD3HpaOe-tOasGXCBTGbB_oYbjpxSqE8tK5b9KQ5fjbztMza1bXvsLP5c15i7m7e3hkgRfrMGE8gE3_dkm6CUiC9DBRuAwXNZV0H164g3wN6yEsf5I7xYLSowhYrsckv96LXM2GNF4Vz_ifTIo0200/b9TZGPDrH5nTsxFneRgOpsGPfqcCWlNgMwYt_Fo28N8),,https://www.fordlibrarymuseum.gov/library/document/0055/1669500.pdf,,,,,,
43 U.S.C. § 1341,National Emergencies Act,The Secretary of the Interior can suspend leases on the outer Continental Shelf if the Secretary of Defense recommends it during a war or national emergency declared by Congress or the President.,National Emergencies Act,"Department of Defense,Department of the Interior","Natural Disaster,Act of War,Presidential Emergency Declarations,Terrorism",N/A,No,Domestic,No,Legislation,,"Emergency Authorities Under the National Emergencies Act,",,9/14/1976,,1669500.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/kW6jgO7pvc22Ihh8tOGIhQ/KmoaTPj3NqwUScvZsj2urZD3HpaOe-tOasGXCBTGbB_oYbjpxSqE8tK5b9KQ5fjbztMza1bXvsLP5c15i7m7e3hkgRfrMGE8gE3_dkm6CUiC9DBRuAwXNZV0H164g3wN6yEsf5I7xYLSowhYrsckv96LXM2GNF4Vz_ifTIo0200/b9TZGPDrH5nTsxFneRgOpsGPfqcCWlNgMwYt_Fo28N8),,https://www.fordlibrarymuseum.gov/library/document/0055/1669500.pdf,,,,,,
46 U.S.C. § 7507,National Emergencies Act,"The Coast Guard Secretary can extend licenses or certificates of registry for up to a year during a national emergency or natural disaster.

",National Emergencies Act,Department of Homeland Security - Coast Guard,"Natural Disaster,Act of War,Presidential Emergency Declarations",N/A,No,Domestic,Yes - Subject to Posse Comitatus,Legislation,,"Emergency Authorities Under the National Emergencies Act,",,9/14/1976,,1669500.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/kW6jgO7pvc22Ihh8tOGIhQ/KmoaTPj3NqwUScvZsj2urZD3HpaOe-tOasGXCBTGbB_oYbjpxSqE8tK5b9KQ5fjbztMza1bXvsLP5c15i7m7e3hkgRfrMGE8gE3_dkm6CUiC9DBRuAwXNZV0H164g3wN6yEsf5I7xYLSowhYrsckv96LXM2GNF4Vz_ifTIo0200/b9TZGPDrH5nTsxFneRgOpsGPfqcCWlNgMwYt_Fo28N8),,https://www.fordlibrarymuseum.gov/library/document/0055/1669500.pdf,,,,,,
46 U.S.C. § 8103,National Emergencies Act,"The President can waive citizenship requirements for officers and seamen on U.S. documented vessels during a national emergency.

",National Emergencies Act,Executive Office of the President of the United States,"Natural Disaster,Act of War,Terrorism,Presidential Emergency Declarations",N/A,No,Domestic,Yes - Subject to Posse Comitatus,Legislation,,"Emergency Authorities Under the National Emergencies Act,",,9/14/1976,,1669500.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/kW6jgO7pvc22Ihh8tOGIhQ/KmoaTPj3NqwUScvZsj2urZD3HpaOe-tOasGXCBTGbB_oYbjpxSqE8tK5b9KQ5fjbztMza1bXvsLP5c15i7m7e3hkgRfrMGE8gE3_dkm6CUiC9DBRuAwXNZV0H164g3wN6yEsf5I7xYLSowhYrsckv96LXM2GNF4Vz_ifTIo0200/b9TZGPDrH5nTsxFneRgOpsGPfqcCWlNgMwYt_Fo28N8),,https://www.fordlibrarymuseum.gov/library/document/0055/1669500.pdf,,,,,,
46 U.S.C. § 8301,National Emergencies Act,"The Coast Guard Secretary can suspend the rules on the number of licensed individuals required on inspected vessels during a national emergency declared by the President.

",National Emergencies Act,Department of Homeland Security - Coast Guard,"Natural Disaster,Act of War,Terrorism,Presidential Emergency Declarations",N/A,No,Domestic,Yes - Subject to Posse Comitatus,Legislation,,"Emergency Authorities Under the National Emergencies Act,",,9/14/1976,,1669500.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/kW6jgO7pvc22Ihh8tOGIhQ/KmoaTPj3NqwUScvZsj2urZD3HpaOe-tOasGXCBTGbB_oYbjpxSqE8tK5b9KQ5fjbztMza1bXvsLP5c15i7m7e3hkgRfrMGE8gE3_dkm6CUiC9DBRuAwXNZV0H164g3wN6yEsf5I7xYLSowhYrsckv96LXM2GNF4Vz_ifTIo0200/b9TZGPDrH5nTsxFneRgOpsGPfqcCWlNgMwYt_Fo28N8),,https://www.fordlibrarymuseum.gov/library/document/0055/1669500.pdf,,,,,,
46 U.S.C. § 56102,National Emergencies Act,"During a war or national emergency declared by the President, transferring control of a U.S.-owned vessel or facility to a noncitizen requires permission from the Secretary of Transportation.

",National Emergencies Act,Department of Transportation,"Natural Disaster,Act of War,Terrorism,Presidential Emergency Declarations",N/A,No,Domestic,Yes - Subject to Posse Comitatus,Legislation,,"Emergency Authorities Under the National Emergencies Act,",,9/14/1976,,1669500.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/kW6jgO7pvc22Ihh8tOGIhQ/KmoaTPj3NqwUScvZsj2urZD3HpaOe-tOasGXCBTGbB_oYbjpxSqE8tK5b9KQ5fjbztMza1bXvsLP5c15i7m7e3hkgRfrMGE8gE3_dkm6CUiC9DBRuAwXNZV0H164g3wN6yEsf5I7xYLSowhYrsckv96LXM2GNF4Vz_ifTIo0200/b9TZGPDrH5nTsxFneRgOpsGPfqcCWlNgMwYt_Fo28N8),,https://www.fordlibrarymuseum.gov/library/document/0055/1669500.pdf,,,,,,
46 U.S.C. § 56301,National Emergencies Act,"The Secretary of Transportation can take over any U.S.-owned vessel or watercraft if the President declares it necessary for national defense or during a national emergency.

",National Emergencies Act,Department of Transportation,"Natural Disaster,Act of War,Terrorism,Presidential Emergency Declarations",N/A,No,Domestic,Yes - Subject to Posse Comitatus,Legislation,,"Emergency Authorities Under the National Emergencies Act,",,9/14/1976,,1669500.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/kW6jgO7pvc22Ihh8tOGIhQ/KmoaTPj3NqwUScvZsj2urZD3HpaOe-tOasGXCBTGbB_oYbjpxSqE8tK5b9KQ5fjbztMza1bXvsLP5c15i7m7e3hkgRfrMGE8gE3_dkm6CUiC9DBRuAwXNZV0H164g3wN6yEsf5I7xYLSowhYrsckv96LXM2GNF4Vz_ifTIo0200/b9TZGPDrH5nTsxFneRgOpsGPfqcCWlNgMwYt_Fo28N8),,https://www.fordlibrarymuseum.gov/library/document/0055/1669500.pdf,,,,,,
46 U.S.C. § 57521,National Emergencies Act,"The Secretary of Transportation can end any charter of Department of Transportation vessels if the President declares it necessary for national defense or during a national emergency.






",National Emergencies Act,Department of Transportation,,N/A,No,Domestic,Yes - Subject to Posse Comitatus,Legislation,,"Emergency Authorities Under the National Emergencies Act,",,9/14/1976,,1669500.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/kW6jgO7pvc22Ihh8tOGIhQ/KmoaTPj3NqwUScvZsj2urZD3HpaOe-tOasGXCBTGbB_oYbjpxSqE8tK5b9KQ5fjbztMza1bXvsLP5c15i7m7e3hkgRfrMGE8gE3_dkm6CUiC9DBRuAwXNZV0H164g3wN6yEsf5I7xYLSowhYrsckv96LXM2GNF4Vz_ifTIo0200/b9TZGPDrH5nTsxFneRgOpsGPfqcCWlNgMwYt_Fo28N8),"*not sure about triggering event*
",https://www.fordlibrarymuseum.gov/library/document/0055/1669500.pdf,,,,,,
46 U.S.C. § 70051,National Emergencies Act,"The Secretary of Transportation can control the anchorage and movement of all vessels in U.S. waters, and take possession of them if needed, during a national emergency declared by the President. The President can also protect vessels, harbors, ports, and waterfronts from threats during such emergencies.

",National Emergencies Act,"Department of Transportation,Executive Office of the President of the United States","Natural Disaster,Act of War,Presidential Emergency Declarations,Terrorism",N/A,No,Domestic,Yes - Subject to Posse Comitatus,Legislation,,"Emergency Authorities Under the National Emergencies Act,",,9/14/1976,,1669500.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/kW6jgO7pvc22Ihh8tOGIhQ/KmoaTPj3NqwUScvZsj2urZD3HpaOe-tOasGXCBTGbB_oYbjpxSqE8tK5b9KQ5fjbztMza1bXvsLP5c15i7m7e3hkgRfrMGE8gE3_dkm6CUiC9DBRuAwXNZV0H164g3wN6yEsf5I7xYLSowhYrsckv96LXM2GNF4Vz_ifTIo0200/b9TZGPDrH5nTsxFneRgOpsGPfqcCWlNgMwYt_Fo28N8),,https://www.fordlibrarymuseum.gov/library/document/0055/1669500.pdf,,,,,,
47 U.S.C. § 308,National Emergencies Act,"The FCC can skip the formal application process for permits and licenses for radio stations during a national emergency declared by the President or Congress and during wartime if needed for national defense or the war effort.

",National Emergencies Act,Federal Communications Commission,"Natural Disaster,Act of War,Presidential Emergency Declarations,Health Emergency,Terrorism","If there is an emergency outbreak or lockdown, a radio line could be used to communicate with the public in emergency situations.",No,Domestic,Yes - Subject to Posse Comitatus,Legislation,,"Emergency Authorities Under the National Emergencies Act,",,9/14/1976,,1669500.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/kW6jgO7pvc22Ihh8tOGIhQ/KmoaTPj3NqwUScvZsj2urZD3HpaOe-tOasGXCBTGbB_oYbjpxSqE8tK5b9KQ5fjbztMza1bXvsLP5c15i7m7e3hkgRfrMGE8gE3_dkm6CUiC9DBRuAwXNZV0H164g3wN6yEsf5I7xYLSowhYrsckv96LXM2GNF4Vz_ifTIo0200/b9TZGPDrH5nTsxFneRgOpsGPfqcCWlNgMwYt_Fo28N8),,https://www.fordlibrarymuseum.gov/library/document/0055/1669500.pdf,,,,,,
Executive Order  10427,,"This EO issued by Truman creates a framework for federal disaster relief for the US. The Federal Civil Defense Administrator (now FEMA) is authorized to provide assistance during major disasters, plan and coordinate for such instances, and prepare rules and regulations for engagement. This order also highlights the integral role of state and local authorities, indicating that federal financial contributions must be conditioned upon reasonable state and local expenditures. However, the order states that, in the event of a major disaster for which response cannot be delayed, federal agencies may provide immediate assistance and will be coordinated by FEMA (previously Federal Civil Defense Administrator). ",EO 10427,Federal Emergency Management Agency,Presidential Major Disaster Declaration,N/A,No,Domestic,Unclear,Executive Order,Exclude,Executive Order,,1/20/1953,1/20/1953,405-407.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/Ktxq0S0p4wTkq_UdSveBnw/Lm4BsgXdVbXytCZEPgeM7WyYZ0Wk0M2Y6OyCz5fX2oZeldDOzsR4IpLlC4cdnCdA14Z6UfYlijsx-tg8O_mx88Rr2yhLazHDrcnBWjiaUoDEv0HucFZNr8SRHesBf8d42RYPtdUbrvYlZ7hOfyETiaHn7eDUc-FrO5Bvb999boE/qnbKK7bWm8TIZF-1guWoSqy1b91fluCM3jSPnVzSJwA),"For Heather - Says major disaster, but before Stafford
-empowers Federal Civil Defense Administrator - since incorporated into FEMA",https://archives.federalregister.gov/issue_slice/1953/1/20/405-407.pdf,,,,,"Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c",
Executive Order 12127,,"This executive order creates the Federal Emergency Management Agency (FEMA), consolidating disparate federal emergency management and response entities under a single agency. The order transfers functions from other departments into FEMA and outlines the roles and responsibilities of the new agency. ",Executive Order 12127,Federal Emergency Management Agency,No triggering event - Capacity Building,N/A,No,Domestic,No,Executive Order,Include,Executive Order,,3/31/1979,3/31/1979,19367-19368.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/YV6S0Mr-FoQwjPQlq52PQQ/Q43YBy7IPlwR2tRZv5CMhn65Yu8vCaZbeYYL6f1yqVuspsH3C5Xo7bQ02ON_OUNprLF9BRwq-bYRIfVBZpsbV1IOObgZJHvM2UT_lh23fEgJ84ijlvEx8xrRCJbN8-CH9spia8V6XGw71B8nqFjzJ_PbbTDxevOw-jZNT_pB6Q8/eksNpg9jy6OcB54Ryphe_NdoBTwUaTKgLm7mNRGHU5k),,https://archives.federalregister.gov/issue_slice/1979/4/3/19367-19368.pdf,,,,,,
47 U.S.C. § 606,National Emergencies Act,"The President can change rules for any device emitting electromagnetic radiation, close radio stations, or allow government control over them during a war, public disaster, or national emergency, with fair compensation to owners.",National Emergencies Act,Federal Communications Commission,"Natural Disaster,Health Emergency,Act of War,Presidential Emergency Declarations,Terrorism","If there is an emergency outbreak or lockdown, a radio line could be used to communicate with the public in emergency situations.",No,Domestic,Yes - Subject to Posse Comitatus,Legislation,,"Emergency Authorities Under the National Emergencies Act,",,9/14/1976,,1669500.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/kW6jgO7pvc22Ihh8tOGIhQ/KmoaTPj3NqwUScvZsj2urZD3HpaOe-tOasGXCBTGbB_oYbjpxSqE8tK5b9KQ5fjbztMza1bXvsLP5c15i7m7e3hkgRfrMGE8gE3_dkm6CUiC9DBRuAwXNZV0H164g3wN6yEsf5I7xYLSowhYrsckv96LXM2GNF4Vz_ifTIo0200/b9TZGPDrH5nTsxFneRgOpsGPfqcCWlNgMwYt_Fo28N8),,https://www.fordlibrarymuseum.gov/library/document/0055/1669500.pdf,,,,,,
Executive Order 13228,,"This EO creates the Office of Homeland Security (OHS) and the Homeland Security Council (HSC) to enhance national security coordination. The order states that the function of OHS will be to coordinate executive branch efforts to holistically prepare for and respond to terrorist threats and facilitate cooperation with other agencies and subnational jurisdictions. Additionally, this order states that, in the event of terrorist attacks, the Director of OHS will be the primary coordinator for domestic response efforts.  ",Executive Order 13228,Department of Homeland Security,No triggering event - Capacity Building,"N/A
",No,Domestic,No,Executive Order,Include,Executive Order,,10/8/2001,10/8/2001,WCPD-2001-10-15-Pg1434.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/r5ie2nvOzSqc-H1xqbLrYQ/Rv9svJ64bAqOd6s8-7frwXpYic2Soq8ZNsUIfjmibVb-R_ptbtvMsoFVCjYTbWJZuCA5DRwWzJ7Rsd12shb5oFfWZMbZRHi_xLi8vEYnxB1djE1VsoXQ7M0h06Ro6-NOg90wTN0OVdsIWrgEfiuq9ES9IAUzImdVYxF2yG6F4byYXn5LJlhhwj8oIhwYT9XO/0wpOsVIsv4pPxKBhU08K3tFHqFWscPg7OwJ807okWZo),,https://www.govinfo.gov/content/pkg/WCPD-2001-10-15/pdf/WCPD-2001-10-15-Pg1434.pdf,,,,,,
Executive Order 13527,,"This EO was created to bolster the US defense to biological attack. The order established requirements to plan and prepare for provision of medical countermeasures (MCMs) to the American citizens in the event of a biological attack. The order requires interagency coordination, cooperation through levels of governance and planning for continuity of operations. Finally, the document mandates the development of a federal rapid response mechanism to dispense MCMs following a deliberate biological event.  ",Executive Order 13527,"Department of Homeland Security,Department of Defense,Department of Justice,Department of Health and Human Services",No triggering event - Capacity Building,"N/A
",No,Domestic,Yes,Executive Order,Include,Executive Order,,12/30/2009,12/30/2009,2010-38.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/XF_DJkPav_-H8Ov45cbEEA/dUhL9iY80I3cgWLI4mc_YwwweJRB3TsuWcenI55L9JGLbjxP0xQk5-KIUYoVK2K0SwhqYIyQmmoyKNLDzxymlounv-jWESdVV_sQmKxtC6mMv0322HnoJixrMAKeTLv8f5FuQJSPUf8wt9o3_zMmh-rqjwQN6qO4MDNq2e64Gm0/xV7Tx3y_q-0BUzbEz-wj2_9m0NSS_9WDmmEWQQ8mq0M),,https://www.govinfo.gov/content/pkg/FR-2010-01-06/pdf/2010-38.pdf,,,,,,
Executive Order 13747,,"This EO establishes the Global Health Security Agenda (GHSA) as a central initiative to the United States' mission of enhancing global capacity to prevent, detect and respond to infectious disease threats. The order states that the Department of Health and Human Services (HHS) will coordinate US governmental efforts to implement GHSA, establishes an interagency review council for policy guidance and coordination and requires an annual report be submitted by the council to the President. The order emphasizes the importance of interagency, multi-sectoral and international collaborations. ",Executive Order 13747,"Department of State,Department of Defense,Department of Agriculture,Department of Homeland Security,Department of Health and Human Services",No triggering event - Capacity Building,N/A,No,Domestic,Yes,Executive Order,Include,Executive Order,,11/4/2016,11/4/2016,DCPD-201600752.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/-jY3li5XVqYrhaD7CvvnWQ/USJLGjQg_bsK0HxfRpEbeTb1hYKnfdcWzLyME5MCV-rdHp0_nCXmsshKCqtbHkYu6xph33asAEkI9VF9eY8t4GUWeqeA9j6-EE_vJKLpGaLtSBjuUfCYX3cpDe7oYcuwwWUlrdicsiLVDDyVFtFXHe3USrZf0C5d2qUNxjbwSlQ/4PwzSA9IAzLRUFna6Ft7g9mZFmChJ90PHaQwM32hW8o),,https://www.govinfo.gov/content/pkg/DCPD-201600752/pdf/DCPD-201600752.pdf,,,,,,
49 U.S.C. § 114,National Emergencies Act,"The TSA Administrator can coordinate all domestic transportation and manage transportation-related duties of nonmilitary federal agencies during a national emergency, but this does not override other agencies' transportation authority.",National Emergencies Act,Department of Homeland Security - Transportation Security Administration,"Natural Disaster,Act of War,Presidential Emergency Declarations,Terrorism",N/A,No,Domestic,No,Legislation,,"Emergency Authorities Under the National Emergencies Act,",,9/14/1976,,1669500.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/kW6jgO7pvc22Ihh8tOGIhQ/KmoaTPj3NqwUScvZsj2urZD3HpaOe-tOasGXCBTGbB_oYbjpxSqE8tK5b9KQ5fjbztMza1bXvsLP5c15i7m7e3hkgRfrMGE8gE3_dkm6CUiC9DBRuAwXNZV0H164g3wN6yEsf5I7xYLSowhYrsckv96LXM2GNF4Vz_ifTIo0200/b9TZGPDrH5nTsxFneRgOpsGPfqcCWlNgMwYt_Fo28N8),,https://www.fordlibrarymuseum.gov/library/document/0055/1669500.pdf,,,,,,
49 U.S.C. § 47152,National emergencies Act,"The U.S. can use, control, or take possession of any part of a public airport on surplus government property during a national emergency declared by the President or Congress.",National Emergencies Act,,"Health Emergency,Act of War,Terrorism,Presidential Emergency Declarations","If there is an outbreak and it is necessary to quarantine individuals in an airport or off-boarding a plane, this section can be enacted.
",No,Domestic,No,Legislation,,"Emergency Authorities Under the National Emergencies Act,",,9/14/1976,,1669500.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/kW6jgO7pvc22Ihh8tOGIhQ/KmoaTPj3NqwUScvZsj2urZD3HpaOe-tOasGXCBTGbB_oYbjpxSqE8tK5b9KQ5fjbztMza1bXvsLP5c15i7m7e3hkgRfrMGE8gE3_dkm6CUiC9DBRuAwXNZV0H164g3wN6yEsf5I7xYLSowhYrsckv96LXM2GNF4Vz_ifTIo0200/b9TZGPDrH5nTsxFneRgOpsGPfqcCWlNgMwYt_Fo28N8),"*not sure about agency empowered*
",https://www.fordlibrarymuseum.gov/library/document/0055/1669500.pdf,,,,,,
Presidential Policy Directive 8,,"This PPD broadly directs the government to strengthen security measures across a litany of threats, including public health threats. The directive mandates the development of a national preparedness goal to secure the nation and establishes a National Preparedness System to build the capacity required for achievement of the national preparedness goal. All information regarding progress and system capacity will be included in an annual National Preparedness Report. ",Presidential Policy Directive 8,"Department of Homeland Security,Federal Emergency Management Agency,Department of Justice,Department of Defense,Department of State,Department of Health and Human Services",No triggering event - Capacity Building,,,Domestic,Yes,Presidential Directive,Include,Presidential Directive,,3/30/2011,3/30/2011,presidential-policy-directive-8-national-preparedness.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/vRKs-lW0c-HkOci461C7yw/ZqPU7ppfObs9K6ale1p8fxMAPz3rL7U6OP6srXzf9X5j3f1pvIDinAONu9BIqZmYZJAmEBekEv7qNCSeLa1zkJ8TlEJL0wJ1QlSjy7mQnoF0xc69OC0HH8C3QSPx3K06PfbVR1bBEd352f8ai89f1olM0LUirlrtkA6Be6j6ipYa0bv0-_8XQ8Phtw5EvgokQbzponoueZvHBC6ewQ1QjA/DtKf5gtqtHkTtErcAiA2bIt_UZaHWtXfBGT6J6rB9T4),,https://www.dhs.gov/xlibrary/assets/presidential-policy-directive-8-national-preparedness.pdf,,,,,,
