Citation,Parent Statute,Document Description,File,Entity Empowered,Triggering Event,Describe Health Emergency,Powers Invoked,State Trigger,Location,Military Involvement (Federal),Document Type,Preliminary Screening,Source,Chapter,Date Originally Published (from File),Date Last Updated (from File),PDF (from File),Note,url (from File),Funding Stream?,Funding Stream Description,Waiver Authority,"Regulations and Statutes: Relevant Chapter, Section or Article",Scenarios Matrix,Plans & Strategies
42. U.S.C. § 5149,Stafford Act,Any federal agency is authorized to accept and utilize state/local government facilities with their consent; they are also able to appoint temporary personnel ,Stafford Act,"Federal Emergency Management Agency,Broadly applies to any relevant federal agency,POTUS or Executive Office of the President of the United States","Presidential Emergency Declarations,Presidential Major Disaster Declaration","An ""emergency"" is any occasion where the president deems that federal assistance is necessary to supplement State and local efforts and capabilities to protect public health and safety. A ""major disaster"" is a natural catastrophe which ""causes damage of sufficient severity and magnitude to warrant major disaster assistance....,"" as further articulated by the regulations.",Federal-State Coordination,Yes,Domestic,Yes - Subject to Posse Comitatus,Legislation,Include,Stafford Act U.S.C.,,5/22/1974,3/18/2024,COMPS-2977.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728684000000/HBmT7aLelKbzu2j7WaOvwQ/vN5ZcLPb_-Em_VDTRBja4sL6JHNaTJjtlKInmnxSfo92UI_LSIukha4xignWY8Z4SVfSalKKqGbPDQgKGrRHc8m1ctMvNIzgaMD91wTYsU10Icvspqw9JoGIw3CT0WOmvmV0jLa8hRRkaYZdrSxGRHkSkUm-kgGHkOPFbweuWmw/KV6LYT_TI-IoFlr4zjiIG5fOndilrl368E47J2sieeg),"unsure about powers invoked
",https://www.govinfo.gov/content/pkg/COMPS-2977/pdf/COMPS-2977.pdf,Yes,FEMA administrator allowed to appoint temporary personnel to FEMA after they have served continuously for three years,No,,"Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c",
42 U.S.C. §  5150,Stafford Act,"Enables the government to contract with private entities, with a preference for local organizations",Stafford Act,"Broadly applies to any relevant federal agency,Federal Emergency Management Agency","Presidential Emergency Declarations,Presidential Major Disaster Declaration","An ""emergency"" is any occasion where the president deems that federal assistance is necessary to supplement State and local efforts and capabilities to protect public health and safety. A ""major disaster"" is a natural catastrophe which ""causes damage of sufficient severity and magnitude to warrant major disaster assistance....,"" as further articulated by the regulations.","Government Contracts,Financial Assistance to states or Tribal Nations",Yes,Domestic,Yes - Subject to Posse Comitatus,Legislation,Include,Stafford Act U.S.C.,,5/22/1974,3/18/2024,COMPS-2977.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728684000000/HBmT7aLelKbzu2j7WaOvwQ/vN5ZcLPb_-Em_VDTRBja4sL6JHNaTJjtlKInmnxSfo92UI_LSIukha4xignWY8Z4SVfSalKKqGbPDQgKGrRHc8m1ctMvNIzgaMD91wTYsU10Icvspqw9JoGIw3CT0WOmvmV0jLa8hRRkaYZdrSxGRHkSkUm-kgGHkOPFbweuWmw/KV6LYT_TI-IoFlr4zjiIG5fOndilrl368E47J2sieeg),,https://www.govinfo.gov/content/pkg/COMPS-2977/pdf/COMPS-2977.pdf,Yes,Allows for contracting with local governments and appropriations for performing relief and reconstruction activities,No,,"Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",
42 U.S.C. § 5151,Stafford Act,Requires nondiscrimination and equitable disaster resistance,Stafford Act,"Broadly applies to any relevant federal agency,POTUS or Executive Office of the President of the United States,Federal Emergency Management Agency","Presidential Emergency Declarations,Presidential Major Disaster Declaration","An ""emergency"" is any occasion where the president deems that federal assistance is necessary to supplement State and local efforts and capabilities to protect public health and safety. A ""major disaster"" is a natural catastrophe which ""causes damage of sufficient severity and magnitude to warrant major disaster assistance....,"" as further articulated by the regulations.",General Rules and Regulations,Yes,Domestic,Yes - Subject to Posse Comitatus,Legislation,Include,Stafford Act U.S.C.,,5/22/1974,3/18/2024,COMPS-2977.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728684000000/HBmT7aLelKbzu2j7WaOvwQ/vN5ZcLPb_-Em_VDTRBja4sL6JHNaTJjtlKInmnxSfo92UI_LSIukha4xignWY8Z4SVfSalKKqGbPDQgKGrRHc8m1ctMvNIzgaMD91wTYsU10Icvspqw9JoGIw3CT0WOmvmV0jLa8hRRkaYZdrSxGRHkSkUm-kgGHkOPFbweuWmw/KV6LYT_TI-IoFlr4zjiIG5fOndilrl368E47J2sieeg),"unsure about powers invoked
",https://www.govinfo.gov/content/pkg/COMPS-2977/pdf/COMPS-2977.pdf,No,,No,,"Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",
42 U.S.C. § 5156,Stafford Act,Requires comprehensive standards to assess the efficiency and effectiveness of Federal major disaster and emergency assistance programs annually.,Stafford Act,"POTUS or Executive Office of the President of the United States,Federal Emergency Management Agency",No triggering event - Capacity Building,"No emergency required - routine and part of disaster preparation 
",Response Assessment,Not applicable,Domestic,Yes - Subject to Posse Comitatus,Legislation,Include,Stafford Act U.S.C.,,5/22/1974,3/18/2024,COMPS-2977.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728684000000/HBmT7aLelKbzu2j7WaOvwQ/vN5ZcLPb_-Em_VDTRBja4sL6JHNaTJjtlKInmnxSfo92UI_LSIukha4xignWY8Z4SVfSalKKqGbPDQgKGrRHc8m1ctMvNIzgaMD91wTYsU10Icvspqw9JoGIw3CT0WOmvmV0jLa8hRRkaYZdrSxGRHkSkUm-kgGHkOPFbweuWmw/KV6LYT_TI-IoFlr4zjiIG5fOndilrl368E47J2sieeg),"unsure about powers invoked
",https://www.govinfo.gov/content/pkg/COMPS-2977/pdf/COMPS-2977.pdf,No,,No,,"Scenario 1,Scenario 3a,Scenario 2,Scenario 3b,Scenario 3c,Scenario 3d",
42 U.S.C. § 5162,Stafford Act,Allows the President to lend or advance a State a portion of the assistance for which the State is responsible,Stafford Act,"Federal Emergency Management Agency,POTUS or Executive Office of the President of the United States","Presidential Emergency Declarations,Presidential Major Disaster Declaration","An ""emergency"" is any occasion where the president deems that federal assistance is necessary to supplement State and local efforts and capabilities to protect public health and safety. A ""major disaster"" is a natural catastrophe which ""causes damage of sufficient severity and magnitude to warrant major disaster assistance....,"" as further articulated by the regulations.",Financial Assistance to states or Tribal Nations,Yes,Domestic,Yes - Subject to Posse Comitatus,Legislation,Include,Stafford Act U.S.C.,,5/22/1974,3/18/2024,COMPS-2977.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728684000000/HBmT7aLelKbzu2j7WaOvwQ/vN5ZcLPb_-Em_VDTRBja4sL6JHNaTJjtlKInmnxSfo92UI_LSIukha4xignWY8Z4SVfSalKKqGbPDQgKGrRHc8m1ctMvNIzgaMD91wTYsU10Icvspqw9JoGIw3CT0WOmvmV0jLa8hRRkaYZdrSxGRHkSkUm-kgGHkOPFbweuWmw/KV6LYT_TI-IoFlr4zjiIG5fOndilrl368E47J2sieeg),,https://www.govinfo.gov/content/pkg/COMPS-2977/pdf/COMPS-2977.pdf,Yes,Authorizes provision of temporary loans when states unable to assume financial responsibility under cost-sharing provisions,No,,"Scenario 2,Scenario 1,Scenario 3a,Scenario 3b,Scenario 3c",
42 U.S.C. §  5163,Stafford Act,Prohibits the use of sliding scales or arithmetic formulas based on income or population when determining assistance,Stafford Act,"Broadly applies to any relevant federal agency,POTUS or Executive Office of the President of the United States,Federal Emergency Management Agency","Presidential Emergency Declarations,Presidential Major Disaster Declaration,No triggering event - Capacity Building","An ""emergency"" is any occasion where the president deems that federal assistance is necessary to supplement State and local efforts and capabilities to protect public health and safety. A ""major disaster"" is a natural catastrophe which ""causes damage of sufficient severity and magnitude to warrant major disaster assistance....,"" as further articulated by the regulations.",Financial Assistance to states or Tribal Nations,Yes,Domestic,Yes - Subject to Posse Comitatus,Legislation,Include,Stafford Act U.S.C.,,5/22/1974,3/18/2024,COMPS-2977.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728684000000/HBmT7aLelKbzu2j7WaOvwQ/vN5ZcLPb_-Em_VDTRBja4sL6JHNaTJjtlKInmnxSfo92UI_LSIukha4xignWY8Z4SVfSalKKqGbPDQgKGrRHc8m1ctMvNIzgaMD91wTYsU10Icvspqw9JoGIw3CT0WOmvmV0jLa8hRRkaYZdrSxGRHkSkUm-kgGHkOPFbweuWmw/KV6LYT_TI-IoFlr4zjiIG5fOndilrl368E47J2sieeg),"unsure about powers invoked
",https://www.govinfo.gov/content/pkg/COMPS-2977/pdf/COMPS-2977.pdf,Yes,Creates anti-discrimination prohibitions on aid,No,,"Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",
42 U.S.C. § 5165,Stafford Act,"POTUS may require state, local, or tribal governments to develop and submit for approval a mitigation plan as a condition of receiving increased federal funds",Stafford Act,"Federal Emergency Management Agency,POTUS or Executive Office of the President of the United States",No triggering event - Capacity Building,No emergency required - part of disaster preparedness,State plan requirement,Not applicable,Domestic,Yes - Subject to Posse Comitatus,Legislation,Include,Stafford Act U.S.C.,,5/22/1974,3/18/2024,COMPS-2977.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728684000000/HBmT7aLelKbzu2j7WaOvwQ/vN5ZcLPb_-Em_VDTRBja4sL6JHNaTJjtlKInmnxSfo92UI_LSIukha4xignWY8Z4SVfSalKKqGbPDQgKGrRHc8m1ctMvNIzgaMD91wTYsU10Icvspqw9JoGIw3CT0WOmvmV0jLa8hRRkaYZdrSxGRHkSkUm-kgGHkOPFbweuWmw/KV6LYT_TI-IoFlr4zjiIG5fOndilrl368E47J2sieeg),,https://www.govinfo.gov/content/pkg/COMPS-2977/pdf/COMPS-2977.pdf,Yes,"""Federal contributions under 5170c of this title may be used to fund the development and updating of mitigation plans under this section.""",No,,"Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",
42 U.S.C. § 5165b,Stafford Act,Allows FEMA to reimburse specific management costs to relevant project and mitigation measures.,Stafford Act,"Federal Emergency Management Agency,POTUS or Executive Office of the President of the United States","Presidential Emergency Declarations,Presidential Major Disaster Declaration,No triggering event - Capacity Building",Major Disaster or emergency; part of disaster preparedness too,Financial Assistance to states or Tribal Nations,Not applicable,Domestic,Yes - Subject to Posse Comitatus,Legislation,Include,Stafford Act U.S.C.,,5/22/1974,3/18/2024,COMPS-2977.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728684000000/HBmT7aLelKbzu2j7WaOvwQ/vN5ZcLPb_-Em_VDTRBja4sL6JHNaTJjtlKInmnxSfo92UI_LSIukha4xignWY8Z4SVfSalKKqGbPDQgKGrRHc8m1ctMvNIzgaMD91wTYsU10Icvspqw9JoGIw3CT0WOmvmV0jLa8hRRkaYZdrSxGRHkSkUm-kgGHkOPFbweuWmw/KV6LYT_TI-IoFlr4zjiIG5fOndilrl368E47J2sieeg),,https://www.govinfo.gov/content/pkg/COMPS-2977/pdf/COMPS-2977.pdf,Yes,"Allows recuperation of ""management costs"" according to a certain percentage. ",No,,"Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",
42 U.S.C. § 5165d,Stafford Act,President shall designate a Small State and Rural Advocate to ensure fair treatment during emergency declaration process and recovery,Stafford Act,"Federal Emergency Management Agency,POTUS or Executive Office of the President of the United States",No triggering event - Capacity Building,"This person participates in the disaster and emergency declaration processes, as well as assisting in preparation and disaster mitigation ",General Rules and Regulations,Not applicable,Domestic,Yes - Subject to Posse Comitatus,Legislation,Include,Stafford Act U.S.C.,,5/22/1974,3/18/2024,COMPS-2977.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728684000000/HBmT7aLelKbzu2j7WaOvwQ/vN5ZcLPb_-Em_VDTRBja4sL6JHNaTJjtlKInmnxSfo92UI_LSIukha4xignWY8Z4SVfSalKKqGbPDQgKGrRHc8m1ctMvNIzgaMD91wTYsU10Icvspqw9JoGIw3CT0WOmvmV0jLa8hRRkaYZdrSxGRHkSkUm-kgGHkOPFbweuWmw/KV6LYT_TI-IoFlr4zjiIG5fOndilrl368E47J2sieeg),,https://www.govinfo.gov/content/pkg/COMPS-2977/pdf/COMPS-2977.pdf,No,,No,,"Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",
42 U.S.C. § 5165f,Stafford Act,FEMA will administer a network of standardized search and rescue resources to assist states and local governments in responding to hazards,Stafford Act,"Federal Emergency Management Agency,POTUS or Executive Office of the President of the United States","Presidential Emergency Declarations,Presidential Major Disaster Declaration","An ""emergency"" is any occasion where the president deems that federal assistance is necessary to supplement State and local efforts and capabilities to protect public health and safety. A ""major disaster"" is a natural catastrophe which ""causes damage of sufficient severity and magnitude to warrant major disaster assistance....,"" as further articulated by the regulations.","Federal-State Coordination,Mission Assignment/Response Coordination",Yes,Domestic,Yes - Subject to Posse Comitatus,,,,,5/22/1974,3/18/2024,COMPS-2977.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728684000000/HBmT7aLelKbzu2j7WaOvwQ/vN5ZcLPb_-Em_VDTRBja4sL6JHNaTJjtlKInmnxSfo92UI_LSIukha4xignWY8Z4SVfSalKKqGbPDQgKGrRHc8m1ctMvNIzgaMD91wTYsU10Icvspqw9JoGIw3CT0WOmvmV0jLa8hRRkaYZdrSxGRHkSkUm-kgGHkOPFbweuWmw/KV6LYT_TI-IoFlr4zjiIG5fOndilrl368E47J2sieeg),,https://www.govinfo.gov/content/pkg/COMPS-2977/pdf/COMPS-2977.pdf,No,,No,,"Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",
42 U.S.C. § 5170a(1),Stafford Act,President may direct any federal agency with or without reimbursement to use its authorities and resources ISO state and local assistance efforts,Stafford Act,"POTUS or Executive Office of the President of the United States,Federal Emergency Management Agency",Presidential Major Disaster Declaration,"An ""emergency"" is any occasion where the president deems that federal assistance is necessary to supplement State and local efforts and capabilities to protect public health and safety. A ""major disaster"" is a natural catastrophe which ""causes damage of sufficient severity and magnitude to warrant major disaster assistance....,"" as further articulated by the regulations.",Mission Assignment/Response Coordination,Yes,Domestic,Yes - Subject to Posse Comitatus,Legislation,Include,Stafford Act U.S.C.,,5/22/1974,3/18/2024,COMPS-2977.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728684000000/HBmT7aLelKbzu2j7WaOvwQ/vN5ZcLPb_-Em_VDTRBja4sL6JHNaTJjtlKInmnxSfo92UI_LSIukha4xignWY8Z4SVfSalKKqGbPDQgKGrRHc8m1ctMvNIzgaMD91wTYsU10Icvspqw9JoGIw3CT0WOmvmV0jLa8hRRkaYZdrSxGRHkSkUm-kgGHkOPFbweuWmw/KV6LYT_TI-IoFlr4zjiIG5fOndilrl368E47J2sieeg),,https://www.govinfo.gov/content/pkg/COMPS-2977/pdf/COMPS-2977.pdf,Yes,Reimbursement to relevant agencies is allowable but not required,No,,"Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",
42 U.S.C. § 5170(a),Stafford Act,"Defines major disaster as one of ""such severity and magnitude that effective response is beyond the capabilities of the State and the affected local governments and that Federal assistance is necessary.""",Stafford Act,"POTUS or Executive Office of the President of the United States,Federal Emergency Management Agency","Natural Disaster,Health Emergency,Act of War,Terrorism","Disaster must be one of ""such severity and magnitude that effective response is beyond the capabilities of the State and the affected local governments and that Federal assistance is necessary""",Emergency Declaration,Yes,Domestic,Yes - Subject to Posse Comitatus,Legislation,Include,Stafford Act U.S.C.,,5/22/1974,3/18/2024,COMPS-2977.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728684000000/HBmT7aLelKbzu2j7WaOvwQ/vN5ZcLPb_-Em_VDTRBja4sL6JHNaTJjtlKInmnxSfo92UI_LSIukha4xignWY8Z4SVfSalKKqGbPDQgKGrRHc8m1ctMvNIzgaMD91wTYsU10Icvspqw9JoGIw3CT0WOmvmV0jLa8hRRkaYZdrSxGRHkSkUm-kgGHkOPFbweuWmw/KV6LYT_TI-IoFlr4zjiIG5fOndilrl368E47J2sieeg),,https://www.govinfo.gov/content/pkg/COMPS-2977/pdf/COMPS-2977.pdf,No,,Yes,,"Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",
42 U.S.C. § 5170(b)-(c),Stafford Act,Allows Chief Executive of affected Indian tribal government to make request for major disaster designation and outlines cost-share adjustments,Stafford Act,"POTUS or Executive Office of the President of the United States,Federal Emergency Management Agency","Natural Disaster,Health Emergency,Act of War,Terrorism","Disaster must be one of ""such severity and magnitude that effective response is beyond the capabilities of the State and the affected local governments and that Federal assistance is necessary""",Emergency Declaration,Indian Tribal Government trigger,Domestic,Unclear,Legislation,Include,Stafford Act U.S.C.,,5/22/1974,3/18/2024,COMPS-2977.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728684000000/HBmT7aLelKbzu2j7WaOvwQ/vN5ZcLPb_-Em_VDTRBja4sL6JHNaTJjtlKInmnxSfo92UI_LSIukha4xignWY8Z4SVfSalKKqGbPDQgKGrRHc8m1ctMvNIzgaMD91wTYsU10Icvspqw9JoGIw3CT0WOmvmV0jLa8hRRkaYZdrSxGRHkSkUm-kgGHkOPFbweuWmw/KV6LYT_TI-IoFlr4zjiIG5fOndilrl368E47J2sieeg),,https://www.govinfo.gov/content/pkg/COMPS-2977/pdf/COMPS-2977.pdf,Yes,Disaster relief and reimbursement to federal agencies both allowable,Yes,,"Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",
42 U.S.C. § 5170a(2),Stafford Act,"Allows President to coordinate disaster relief provided by Federal agencies, private organizations, State, and local governments, including precautionary evacuations and recovery ",Stafford Act,"POTUS or Executive Office of the President of the United States,Federal Emergency Management Agency",Presidential Major Disaster Declaration,"An ""emergency"" is any occasion where the president deems that federal assistance is necessary to supplement State and local efforts and capabilities to protect public health and safety. A ""major disaster"" is a natural catastrophe which ""causes damage of sufficient severity and magnitude to warrant major disaster assistance....,"" as further articulated by the regulations.","Mission Assignment/Response Coordination,Financial Assistance to states or Tribal Nations,Appropriations - Emergency Response,Provision of Medical Care,Provision of Supplies",Yes,Domestic,Yes - Subject to Posse Comitatus,Legislation,Include,Stafford Act U.S.C.,,5/22/1974,3/18/2024,COMPS-2977.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728684000000/HBmT7aLelKbzu2j7WaOvwQ/vN5ZcLPb_-Em_VDTRBja4sL6JHNaTJjtlKInmnxSfo92UI_LSIukha4xignWY8Z4SVfSalKKqGbPDQgKGrRHc8m1ctMvNIzgaMD91wTYsU10Icvspqw9JoGIw3CT0WOmvmV0jLa8hRRkaYZdrSxGRHkSkUm-kgGHkOPFbweuWmw/KV6LYT_TI-IoFlr4zjiIG5fOndilrl368E47J2sieeg),,https://www.govinfo.gov/content/pkg/COMPS-2977/pdf/COMPS-2977.pdf,Yes,Disaster relief and reimbursement to federal agencies both allowable (but not required) ,Yes,,"Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",
42 U.S.C. § 5170a(3),Stafford Act,"Allows President to provide technical and advisory assistance to State and local governments on many topics, including the provision of health and safety measures and the management and control of public health threats",Stafford Act,"POTUS or Executive Office of the President of the United States,Federal Emergency Management Agency",Presidential Major Disaster Declaration,"An ""emergency"" is any occasion where the president deems that federal assistance is necessary to supplement State and local efforts and capabilities to protect public health and safety. A ""major disaster"" is a natural catastrophe which ""causes damage of sufficient severity and magnitude to warrant major disaster assistance....,"" as further articulated by the regulations.","Strategies and General Preparedness Efforts,Federal-State Coordination",Yes,Domestic,Yes - Subject to Posse Comitatus,Legislation,Include,Stafford Act U.S.C.,,5/22/1974,3/18/2024,COMPS-2977.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728684000000/HBmT7aLelKbzu2j7WaOvwQ/vN5ZcLPb_-Em_VDTRBja4sL6JHNaTJjtlKInmnxSfo92UI_LSIukha4xignWY8Z4SVfSalKKqGbPDQgKGrRHc8m1ctMvNIzgaMD91wTYsU10Icvspqw9JoGIw3CT0WOmvmV0jLa8hRRkaYZdrSxGRHkSkUm-kgGHkOPFbweuWmw/KV6LYT_TI-IoFlr4zjiIG5fOndilrl368E47J2sieeg),,https://www.govinfo.gov/content/pkg/COMPS-2977/pdf/COMPS-2977.pdf,No,,No,,"Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",
